Actual Schedule,Actual FP,Actual SLOC,Req. Review,Design Review,Test Review,Code Review,UT Defects,IT Defects,ST Defects,QA Release Defects,Faults
17,233,12816,2,28,0,119,1,17,50,0,0
15,134,7381,11,28,17,10,0,14,76,0,0
21,91,5033,1,29,2,51,2,7,26,0,0
41,38,1900,17,0,2,8,0,0,12,0,0
97,197,25216,74,4,40,31,1,36,143,0,11
182,604,33220,299,17,16,36,0,248,142,0,31
81,137,3321,7,9,7,6,0,48,30,,2
110,294,16145,42,10,15,60,17,15,36,0,0
56,170,5225,70,29,8,29,23,11,32,0,0
490,2188,122517,61,98,52,1795,347,1138,1244,0,43
75,108,5940,22,0,0,12,4,3,29,0,0
53,81,4455,7,0,3,34,3,1,2,0,0
49,88,450,1,1,3,0,0,3,2,,0
90,300,12210,108,36,10,57,34,41,170,0,1
58,150,8250,21,4,5,22,38,20,45,0,0
84,241,13255,101,3,0,50,25,15,40,0,0
298,209,11440,1,0,4,107,5,5,23,0,0
98,220,20146,83,4,16,56,0,64,136,0,3
19,32,5000,25,0,0,6,25,15,19,0,0
186,132,13366,13,0,5,26,0,7,15,0,4
49,189,13230,26,28,0,27,60,50,81,0,1
229.4,147,25575,70,23,28,20,7,21,63,0,1
8,20,600,15,0,1,2,0,0,1,0,0
66,278,,0,0,0,8,0,33,3,0,2
41,149,13410,32,5,5,14,35,5,40,0,0
26,102,4080,20,0,17,3,10,5,13,0,0
135,94.5,6088,22,4,23,1,1,15,10,0,1
60,42,1823,1,1,5,1,1,2,0,0,0
101,220,11732,45,15,15,15,0,45,55,0,1
244.6,169,21736,38,1,8,27,0,33,50,0,14
415,1590,168800,23,3,15,196,6,428,420,0,26
43,184,,2,0,0,15,0,26,13,,1
19.4,13.4,328,1,0,0,0,0,0,3,0,0
52.9,35,5477,10,1,1,3,1,2,0,0,0
93.7,92,291,4,1,2,3,2,2,12,0,0
123.9,110.5,1150,0,1,0,2,5,9,28,0,2
1,1,0,0,0,0,0,0,0,0,0,0
6.5,6.5,8,0,0,0,0,0,0,0,0,0
7,7,8,0,0,0,0,0,0,0,0,0
5,19,447,1,0,6,0,0,1,2,0,0
14,10,3000,0,0,0,0,0,1,1,0,0
40,142,2840,27,0,8,8,0,4,16,1,0
27,56,1000,19,7,5,13,0,2,7,0,0
110,,0,0,0,60,41,0,0,331,0,0
50,,0,0,0,10,7,0,0,93,0,0
106,414,,11,0,4,39,0,71,58,0,2
41,140,2200,8,1,4,5,4,3,8,0,0
36,85,2550,25,10,10,5,0,8,4,1,0
518,380,29800,14,14,10,5,6,12,26,0,0
18,55,6500,28,2,2,0,9,14,24,0,1
